;0;1;2;3;4
0;Ender’s Game (Ender's Saga, #1);Orson Scott Card;4,31;1,333,073;48,417
1;Dune (Dune, #1);Frank Herbert;4,26;1,253,640;55,959
2;1984;George Orwell;4,19;4,333,235;106,878
3;Fahrenheit 451;Ray Bradbury;3,97;2,283,789;68,956
4;Brave New World;Aldous Huxley;3,99;1,780,978;44,484
5;Foundation (Foundation, #1);Isaac Asimov;4,17;517,654;15,361
6;A Wrinkle in Time (Time Quintet, #1);Madeleine L'Engle;3,98;1,170,580;38,533
7;The Hunger Games (The Hunger Games, #1);Suzanne Collins;4,33;8,164,741;203,123
8;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5);Douglas Adams;4,38;317,172;6,126
9;Slaughterhouse-Five;Kurt Vonnegut Jr.;4,09;1,327,155;37,321
10;The Giver (The Giver, #1);Lois Lowry;4,12;2,345,528;76,635
11;Do Androids Dream of Electric Sheep?;Philip K. Dick;4,09;431,902;18,147
12;Stranger in a Strange Land;Robert A. Heinlein;3,92;306,812;9,644
13;I, Robot (Robot, #0.1);Isaac Asimov;4,21;335,237;9,575
14;Hyperion (Hyperion Cantos, #1);Dan Simmons;4,26;239,086;11,755
15;Animal Farm;George Orwell;3,98;3,678,772;88,646
16;Neuromancer (Sprawl, #1);William Gibson;3,90;315,025;13,130
17;Speaker for the Dead (Ender's Saga, #2);Orson Scott Card;4,09;249,186;8,786
18;The Handmaid’s Tale (The Handmaid's Tale, #1);Margaret Atwood;4,13;1,944,001;92,016
19;The Stand;Stephen King;4,35;735,467;28,065
20;The Martian Chronicles;Ray Bradbury;4,15;253,447;10,585
21;The Fellowship of the Ring (The Lord of the Rings, #1);J.R.R. Tolkien;4,39;2,729,010;36,187
22;The Foundation Trilogy (Foundation, #1-3);Isaac Asimov;4,41;100,906;2,137
23;Jurassic Park (Jurassic Park, #1);Michael Crichton;4,09;929,741;18,489
24;Snow Crash;Neal Stephenson;4,02;273,097;11,766
25;2001: A Space Odyssey;Arthur C. Clarke;4,17;304,949;8,097
26;The Time Machine;H.G. Wells;3,90;501,899;15,304
27;The Lord of the Rings;J.R.R. Tolkien;4,52;655,460;14,118
28;Starship Troopers;Robert A. Heinlein;4,01;221,932;7,068
29;The Left Hand of Darkness;Ursula K. Le Guin;4,09;169,630;14,308
