;0;1;2;3;4
0;Timequake;Kurt Vonnegut Jr.;3,72;37,371;2,035
1;Core (Core #1);Teshelle Combs;4,03;250;52
2;The Final Reflection (Star Trek: Worlds Apart, #1);John M. Ford;3,92;1,617;138
3;When the Tripods Came;John Christopher;3,80;4,447;252
4;The Last Stormlord (Watergivers, #1);Glenda Larke;3,77;7,005;313
5;iD (The Machine Dynasty, #2);Madeline Ashby;3,62;684;103
6;Shutter Island;Dennis Lehane;4,11;189,398;10,193
7;The Heresy Within (The Ties That Bind, #1);Rob J. Hayes;3,91;2,780;157
8;Hidden Empire (The Saga of Seven Suns, #1);Kevin J. Anderson;3,79;8,657;582
9;Delta: Retribution (Delta, #1);Cristin Harber;4,19;2,099;172
10;Ghost Layer (Ghost Seer, #2);Robin D. Owens;3,84;755;87
11;Magie pro každého (Kladivo na čaroděje, #1);Jiří Pavlovský;3,93;215;34
12;The Faded Sun Trilogy (The Faded Sun, #1-3);C.J. Cherryh;4,13;5,254;238
13;The Bloody Crown of Conan (Conan the Cimmerian, #2);Robert E. Howard;4,31;4,873;186
14;Mecanoscrit del segon origen;Manuel de Pedrolo;3,76;5,170;272
15;Agent of Change (Liaden Universe, #9);Sharon Lee;4,16;4,197;281
16;The Prisoner of Cell 25 (Michael Vey, #1);Richard Paul Evans;4,22;43,671;5,505
17;Lux perpetua (Trylogia husycka, #3);Andrzej Sapkowski;4,10;5,172;140
18;Stealing the Wind (Mermen of Ea #1);Shira Anthony;3,72;1,334;244
19;Shadow Games (The Chronicles of the Black Company, #4);Glen Cook;4,11;11,683;309
20;Fantasy of Frost (The Tainted Accords, #1);Kelly St. Clare;4,19;11,649;817
21;Dragonfriend (Dragonfriend #1);Marc Secchia;4,29;1,350;171
22;Hunter of Demons (SPECTR, #1);Jordan L. Hawk;3,95;2,580;363
23;The Angel's Game (The Cemetery of Forgotten Books, #2);Carlos Ruiz Zafón;3,99;155,278;13,302
24;No Logo;Naomi Klein;3,88;30,964;1,188
25;Midnight Robber;Nalo Hopkinson;3,95;3,480;516
26;Century of the Soldier (The Monarchies of God #3-5);Paul Kearney;4,04;751;43
27;Hemlock Grove;Brian McGreevy;3,48;6,915;999
28;Radiomen;Eleanor Lerman;3,84;157;36
29;Crossing in Time (Between Two Evils, #1);D.L. Orton;4,01;798;247
30;Havoc (Dred Chronicles, #2);Ann Aguirre;4,09;2,122;179
31;Space Cruiser Musashi;Dean Chalmers;3,80;427;31
32;The Divide (Dreamland, #2);E.J. Mellow;4,26;596;83
33;Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8);J.K. Rowling;3,50;971,701;72,486
34;Akira, Vol. 4;Katsuhiro Otomo;4,47;11,005;345
35;The Emblem Throne (The Runes of Issalia, #2);Jeffrey L. Kohanek;4,11;544;42
36;Abducted (Alien Mate Index, #1);Evangeline Anderson;3,91;3,334;419
37;The Cloud Hunters;Alex Shearer;3,85;331;42
38;The Stars Down Under (The Outback Stars #2);Sandra McDonald;3,42;265;37
39;The November Girl;Lydia Kang;3,95;842;176
40;Codename: Night Witch (The Girls from Alcyone Book 3);Cary Caffrey;4,09;525;32
41;The Night Land;William Hope Hodgson;3,52;1,524;240
42;City of Miracles (The Divine Cities, #3);Robert Jackson Bennett;4,42;12,354;1,348
43;Honor's Knight (Paradox, #2);Rachel Bach;3,98;9,538;856
44;A Thousand Nights (A Thousand Nights, #1);E.K. Johnston;3,63;13,904;2,683
45;It All Started (Zournal #1);R.S. Merritt;4,24;402;64
46;River of Destiny;Barbara Erskine;4,01;2,312;265
47;The Heights of Perdition (The Divine Space Pirates, #1);C.S.  Johnson;4,11;110;45
48;The Best American Science Fiction and Fantasy 2018;N.K. Jemisin;3,84;709;130
49;Dungeon Calamity (The Divine Dungeon, #3);Dakota Krout;4,35;8,256;280
50;Le Rayon vert;Jules Verne;3,44;1,648;117
51;Trial by Fire (Worldwalker, #1);Josephine Angelini;3,94;18,028;2,292
52;The Waking Fire (The Draconis Memoria, #1);Anthony Ryan;4,05;13,341;1,115
53;The Day Diana Died: 25th Anniversary;Christopher Andersen;4,20;2,977;210
54;Light Mage (The Black Witch Chronicles, #1.5);Laurie Forest;4,26;3,967;316
