;0;1;2;3;4
0;The Protector's War (Emberverse, #2);S.M. Stirling;3,98;8,977;374
1;Phylogenesis (Founding of the Commonwealth, #1);Alan Dean Foster;3,84;1,448;39
2;Phoenix and Ashes (Elemental Masters, #3);Mercedes Lackey;4,04;8,250;281
3;Obernewtyn (The Obernewtyn Chronicles, #1);Isobelle Carmody;3,96;11,933;828
4;Kallos (Kallos, #1);Khelsey Jackson;3,94;99;43
5;Passage (Sharing Knife Series #3);Lois McMaster Bujold;3,95;7,669;358
6;Kushiel's Scion (Imriel's Trilogy, #1);Jacqueline Carey;4,21;21,385;693
7;Stranger Things Happen;Kelly Link;3,83;6,042;776
8;Reap the Wind (Cassandra Palmer, #7);Karen Chance;4,07;5,240;471
9;The Swords Trilogy (Corum, #1-3);Michael Moorcock;4,08;2,856;93
10;Raw Deal (Bite Back, #0.5);Mark Henwick;3,97;809;58
11;The Scions of Shannara (Heritage of Shannara, #1);Terry Brooks;4,00;32,517;455
12;Eleanor;Jason Gurley;3,69;2,994;679
13;The Incomplete Enchanter;L. Sprague de Camp;3,93;1,206;34
14;The Summoner (Chronicles of the Necromancer, #1);Gail Z. Martin;3,74;11,872;502
15;The Night Watch Collection #1-3;Sergei Lukyanenko;4,17;1,255;41
16;Wayside School Is Falling Down (Wayside School, #2);Louis Sachar;4,16;59,697;1,211
17;The Song of Achilles;Madeline Miller;4,34;1,306,603;142,885
18;The Godmakers;Frank Herbert;3,61;2,950;183
19;Radiant (Valos of Sonhadra, #5);Naomi Lucas;3,84;835;74
20;Snow White and Rose Red;Jacob Grimm;3,74;1,086;110
21;The Long Utopia (The Long Earth #4);Terry Pratchett;3,89;10,478;652
22;The Stars Between Us;Cristin Terrill;3,37;699;469
23;Wundersmith: The Calling of Morrigan Crow (Nevermoor, #2);Jessica  Townsend;4,49;33,801;4,569
24;Ship of Fools;Richard Paul Russo;3,74;4,229;433
25;Demons (Star Trek: The Original Series #30);J.M. Dillard;3,54;1,122;65
26;Joust (Dragon Jousters, #1);Mercedes Lackey;4,04;11,719;373
27;The Mountains of Mourning;Lois McMaster Bujold;4,28;8,036;348
28;The Wizard's Ward (Umbria, #1);Deborah Hale;3,67;1,042;66
29;Maplecroft (The Borden Dispatches #1);Cherie Priest;3,58;4,533;952
30;Bran Mak Morn: The Last King;Robert E. Howard;4,03;1,518;94
31;The Second Ship (The Rho Agenda, #1);Richard   Phillips;3,78;11,568;667
32;A Galaxy Unknown (A Galaxy Unknown #1);Thomas DePrima;3,94;3,429;139
33;The Seer King (The Seer King Trilogy, #1);Chris Bunch;3,62;993;34
34;Skybowl (Dragon Star, #3);Melanie Rawn;4,10;10,119;57
35;Musta yö - tummat lasit;Nancy A. Collins;3,89;2,872;163
36;Magic Strikes (Kate Daniels, #3);Ilona Andrews;4,43;83,698;4,092
37;The Blood King (Chronicles of the Necromancer, #2);Gail Z. Martin;3,91;6,535;158
38;Tales from the Inner City;Shaun Tan;4,29;2,362;460
39;Dead Heat (Alpha & Omega, #4);Patricia Briggs;4,31;37,605;2,546
40;The Scorpion's Mate (Iriduan Test Subjects, #1);Susan Trombley;3,78;4,422;477
41;The Mysterious Stranger;Mark Twain;4,13;10,138;864
42;The Long Mars (The Long Earth, #3);Terry Pratchett;3,76;15,175;932
43;A Big Ship at the Edge of the Universe (The Salvagers, #1);Alex White;3,79;6,899;1,084
44;Twin Crowns (Twin Crowns, #1);Catherine Doyle;3,99;16,701;3,101
45;Hollowpox: The Hunt for Morrigan Crow (Nevermoor, #3);Jessica  Townsend;4,50;21,520;2,958
46;Breathless (The Blue Fire Saga, #1);Scott Prussing;3,61;2,977;330
47;The Perilous Gard;Elizabeth Marie Pope;4,10;8,698;860
48;Hidden Warrior (The Tamír Triad, #2);Lynn Flewelling;4,13;7,997;280
49;Dreamsongs, Volume II;George R.R. Martin;4,03;2,521;173
50;The Lure of the Basilisk (The Lords of Dûs, #1);Lawrence Watt-Evans;3,73;716;39
51;Chance in Hell (Chance Lee, #1);Patrick Kampman;3,77;609;38
52;Genom;Sergei Lukyanenko;3,81;1,493;155
53;Songs of the Earth (The Wild Hunt, #1);Elspeth Cooper;3,67;2,292;246
54;Kruistocht in spijkerbroek;Thea Beckman;4,05;12,477;487
55;Gloriana;Michael Moorcock;3,63;2,233;133
56;Dragon Soul (Havemercy, #3);Jaida Jones;3,73;560;54
57;Who Goes Here?;Bob Shaw;3,82;298;33
58;Pawn's Gambit: And Other Stratagems;Timothy Zahn;4,05;299;59
59;Dark Haven (Chronicles of the Necromancer, #3);Gail Z. Martin;4,03;4,882;99
60;The Wolves of Winter;Tyrell Johnson;3,75;6,437;1,175
61;Ascender, Vol. 1: The Haunted Galaxy;Jeff Lemire;4,23;2,444;309
62;Saving Askara (Saving Askara #1);J.M. Link;3,99;3,034;371
63;The Mark of the Beast and Other Horror Tales;Rudyard Kipling;3,64;292;39
64;Misrule (Malice Duology, #2);Heather   Walter;3,81;7,025;1,376
65;Keeper of the Lost Cities (Keeper of the Lost Cities, #1);Shannon Messenger;4,42;70,116;7,639
66;Extra (Ordinary) People;Joanna Russ;3,72;230;31
67;Darker Than You Think;Jack Williamson;3,50;1,404;186
68;Myth Conceptions (Myth Adventures, #2);Robert Lynn Asprin;4,09;15,008;253
69;The Unparalleled Adventure of One Hans Pfaall;Edgar Allan Poe;3,07;1,193;178
70;Desperation;Stephen King;3,85;137,951;3,675
71;In the Company of Others;Julie E. Czerneda;3,89;1,383;93
72;House of Leaves;Mark Z. Danielewski;4,09;160,613;15,813
73;The Oracle's Queen (The Tamír Triad, #3);Lynn Flewelling;4,18;7,962;307
74;Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1);Jessica Day George;3,94;34,527;3,780
75;The Blue Djinn of Babylon (Children of the Lamp, #2);P.B. Kerr;3,85;12,853;237
76;Over Sea, Under Stone (The Dark is Rising, #1);Susan Cooper;3,85;51,568;2,820
77;So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4);Douglas Adams;4,09;167,780;3,789
78;Hawkmoon (Eternal Champion, #3);Michael Moorcock;3,97;1,912;32
79;Staked (Void City, #1);J.F. Lewis;3,69;2,105;202
80;Trinity Rising (The Wild Hunt, #2);Elspeth Cooper;3,70;922;72
81;The Unpleasant Profession of Jonathan Hoag;Robert A. Heinlein;3,74;5,492;256
82;Unspoken (The Lynburn Legacy, #1);Sarah Rees Brennan;3,82;31,914;3,704
83;Forging Zero (The Legend of ZERO, #1);Sara  King;4,10;7,267;399
84;Neanderthal;John Darnton;3,35;2,849;235
85;Dark Lady's Chosen (Chronicles of the Necromancer, #4);Gail Z. Martin;4,14;4,038;90
86;Daughters of the Storm (Blood and Gold, #1);Kim Wilkins;3,65;1,714;365
87;Anna and the Alien (Alien Abduction, #1);Honey Phillips;3,92;3,640;358
88;Thinner;Richard Bachman;3,76;203,941;3,717
89;Luna: New Moon;Ian McDonald;3,75;7,851;1,191
90;A Darkling Plain (Mortal Engines Quartet #4);Philip Reeve;4,17;13,192;977
91;A Chain Across the Dawn (The Universe After, #2);Drew   Williams;4,03;523;72
92;How to Be Eaten;Maria Adelmann;3,63;6,543;1,148
93;The Girl Who Drank the Moon;Kelly Barnhill;4,12;92,066;14,857
94;Foundation's Friends;Martin H. Greenberg;4,18;3,644;43
95;On the Razor's Edge (Spiral Arm, #4);Michael Flynn;4,02;227;34
96;The Dark Half;Stephen King;3,80;139,145;3,115
97;Iron Council (New Crobuzon, #3);China Miéville;3,72;15,393;1,088
98;The Misplaced Legion (The Videssos Cycle, #1);Harry Turtledove;3,91;1,816;69
99;Bill the Vampire (The Tome of Bill, #1);Rick Gualtieri;3,83;6,186;514
100;Fałszywe lustra (Głębia, #2);Sergei Lukyanenko;4,17;2,480;31
101;Player One: What Is to Become of Us;Douglas Coupland;3,49;6,016;577
102;The Goddess Test (Goddess Test, #1);Aimee Carter;3,79;57,814;5,377
103;When True Night Falls (The Coldfire Trilogy, #2);C.S. Friedman;4,14;10,038;213
104;The Leftovers;Tom Perrotta;3,42;47,200;6,110
105;Zero Recall (The Legend of ZERO, #2);Sara  King;4,34;4,694;153
106;Death Masks (The Dresden Files, #5);Jim Butcher;4,29;134,604;4,268
107;Late Eclipses (October Daye, #4);Seanan McGuire;4,27;19,161;1,082
108;Strange Brew;P.N. Elrod;3,88;11,686;671
109;Shadowfever (Fever, #5);Karen Marie Moning;4,39;107,325;7,162
110;City of the Lost (Rockton, #1);Kelley Armstrong;4,06;19,535;2,427
111;The Sworn (Fallen Kings Cycle, #1);Gail Z. Martin;4,06;2,910;90
112;Lila lässt die Funken fliegen;Philip Pullman;3,71;4,472;394
113;To Be Taught, If Fortunate;Becky  Chambers;4,21;38,964;6,349
114;Blind Fall (Stolen by an Alien, #5);Amanda Milo;4,16;2,749;359
115;Red Knight Falling (Harmony Black, #2);Craig Schaefer;3,99;3,333;217
116;Alice Payne Arrives (Alice Payne, #1);Kate Heartfield;3,60;917;207
117;Upgrade;Blake Crouch;3,81;79,697;11,125
118;Ringworld (Ringworld Series, #1);Larry Niven;3,95;119,060;4,316
119;Sky Without Stars (System Divine, #1);Jessica Brody;3,88;4,603;953
120;Larklight (Larklight, #1);Philip Reeve;3,85;5,570;564
121;Czystopis (Kirył, #2);Sergei Lukyanenko;3,71;2,521;62
122;The Swords of Night and Day (The Drenai Saga, #11);David Gemmell;4,34;9,051;177
123;Unaccompanied Sonata and Other Stories;Orson Scott Card;4,07;385;30
124;Trigger Warning: Short Fictions and Disturbances;Neil Gaiman;3,92;59,684;6,278
125;Zero's Return (The Legend of ZERO, #3);Sara  King;4,31;3,567;105
126;I Am Crying All Inside and Other Stories: The Complete Short Fiction of Clifford D. Simak Volume One;Clifford D. Simak;4,19;566;86
127;One Salt Sea (October Daye, #5);Seanan McGuire;4,33;19,255;1,059
128;Daytripper;Fábio Moon;4,33;33,574;3,335
129;The Dread (Fallen Kings Cycle, #2);Gail Z. Martin;4,15;1,807;49
130;The Magical Monarch of Mo;L. Frank Baum;3,85;471;41
131;The Colour Out of Space;H.P. Lovecraft;4,07;3,852;321
132;Azure Bonds (Finder's Stone #1);Kate Novak;3,85;4,934;145
133;A Strange Scottish Shore (Emmaline Truelove, #2);Juliana  Gray;3,63;1,081;209
134;The Priory of the Orange Tree (The Roots of Chaos, #1);Samantha    Shannon;4,22;170,490;28,199
135;Ascend (Haven #1);Sandra R. Neeley;4,31;2,370;316
136;Into the Mist (Into the Mist, #1);P.C. Cast;3,59;1,560;367
137;The Fold;Peter Clines;3,88;30,104;3,237
138;The Inheritors;William Golding;3,52;4,680;518
139;Star Trek: The Next Generation Technical Manual;Rick Sternbach;4,17;2,279;44
140;HELPER12;Jack Blaine;3,52;597;68
141;Red Moon Demon  (Demon Lord, #1);Morgan Blayde;3,85;1,718;49
142;Brudnopis (Kirył, #1);Sergei Lukyanenko;4,00;3,838;114
143;Sand (The Sand Chronicles, #1);Hugh Howey;3,97;28,063;2,097
144;Casting Spells (Sugar Maple, #1);Barbara Bretton;3,71;3,543;599
145;The Pier Falls: And Other Stories;Mark Haddon;3,91;3,886;643
146;Ice Forged (Ascendant Kingdoms, #1);Gail Z. Martin;3,74;1,842;198
147;Sieben Tage Hexerei (Chrestomanci, #3);Diana Wynne Jones;3,93;14,156;693
148;The Refrigerator Monologues;Catherynne M. Valente;4,06;3,812;823
149;The Turn of the Screw;Henry James;3,39;146,847;12,692
150;A Most Extraordinary Pursuit (Emmaline Truelove, #1);Juliana  Gray;3,58;1,344;249
151;A Kiss Of Madness;K.B.  Everly;3,85;736;142
152;The Cold Equations and Other Stories;Tom Godwin;3,84;780;114
153;The Stars Now Unclaimed (The Universe After #1);Drew   Williams;3,80;1,636;393
154;Never After: The Thirteenth Fairy (The Chronicles of Never After, 1);Melissa de la Cruz;3,86;3,027;590
155;The Rhesus Chart (Laundry Files, #5);Charles Stross;4,19;8,867;541
156;The Humanoids (Humanoids #1);Jack Williamson;3,73;1,170;100
157;Airhead (Airhead, #1);Meg Cabot;3,77;38,592;2,209
158;The January Dancer (Spiral Arm, #1);Michael Flynn;3,47;1,104;176
159;Candide;Voltaire;3,76;267,027;10,849
160;Reign of Ash (Ascendant Kingdoms, #2);Gail Z. Martin;3,98;917;55
161;The Worst Witch (Worst Witch, #1);Jill Murphy;3,96;21,346;912
162;Aquicorn Cove;Kay  O'Neill;4,19;11,667;2,158
163;The Road to Dune;Kevin J. Anderson;3,90;5,754;150
164;The VaDorok (The Mate Index, #1);S.J. Sanders;3,97;1,418;130
165;Violet Made of Thorns (Violet Made of Thorns, #1);Gina Chen;3,60;15,252;3,384
166;Fugitive Telemetry (The Murderbot Diaries, #6);Martha Wells;4,32;53,873;5,374
167;The Tower and the Hive (The Tower and the Hive, #5);Anne McCaffrey;3,99;7,046;129
168;The Throat;Peter Straub;3,96;3,821;154
169;Wander Home;Karen A. Wyle;3,96;45;35
170;A Demon Bound (Imp, #1);Debra Dunbar;3,94;7,882;646
171;The Weapon (Freehold Series);Michael Z. Williamson;4,05;1,308;54
172;The Dog Stars;Peter Heller;3,94;62,457;8,132
173;War of Shadows (Ascendant Kingdoms, #3);Gail Z. Martin;3,96;550;38
174;Konrad oder Das Kind aus der Konservenbüchse;Christine Nöstlinger;3,93;1,616;131
175;Danny Dunn and the Anti-Gravity Paint (Danny Dunn, # 1);Jay Williams;3,88;515;47
176;The Alloy of Law (Mistborn, #4);Brandon Sanderson;4,21;202,436;12,687
177;The End of Men;Christina Sweeney-Baird;3,79;17,222;2,923
178;Mama and the Alien Warrior (Treasured by the Alien, #1);Honey Phillips;4,15;5,881;584
179;The Curious Case of Benjamin Button;F. Scott Fitzgerald;3,57;64,238;5,524
180;Rising Sun;Michael Crichton;3,65;51,107;1,168
181;I Will Breathe (Forbidden Series Book 1);Regina Puckett;4,17;130;42
182;Luminous;Mara Rutherford;3,60;836;262
183;Strange Dogs;James S.A. Corey;4,06;14,133;934
184;Prometheus Rising;Robert Anton Wilson;4,25;6,851;421
185;Bill, The Galactic Hero (Bill, The Galactic Hero, #1);Harry Harrison;3,61;4,459;222
186;Sword and Sorceress;Marion Zimmer Bradley;3,98;2,668;39
187;In the Lion's Mouth (Spiral Arm, #3);Michael Flynn;3,91;318;51
188;Yu Yu Hakusho, Vol. 1 (Yu Yu Hakusho, #1);Yoshihiro Togashi;4,32;17,283;225
189;Into the Storm (Destroyermen, #1);Taylor Anderson;3,96;6,930;533
190;The Broken Eye (Lightbringer, #3);Brent Weeks;4,45;61,524;2,546
191;The Mirador (Doctrine of Labyrinths, #3);Sarah Monette;3,99;2,056;142
192;Kalki;Gore Vidal;3,81;1,564;135
193;Three Hainish Novels (Hainish Cycle, #1-3);Ursula K. Le Guin;4,24;3,908;360
194;The Poppy War (The Poppy War, #1);R.F. Kuang;4,17;209,803;34,502
195;Beth's Stable (Stolen by an Alien, #6);Amanda Milo;4,23;1,875;247
196;Dragon Teeth;Michael Crichton;3,82;37,079;4,108
197;Wicked as You Wish (A Hundred Names for Magic, #1);Rin Chupeco;3,41;2,885;956
198;Leviathan Falls (The Expanse, #9);James S.A. Corey;4,54;47,543;3,968
199;Blind Waves;Steven Gould;3,64;577;39
200;Up Jim River (Spiral Arm, #2);Michael Flynn;3,83;439;61
201;Floating Dragon;Peter Straub;3,83;12,192;286
202;Shadow (Scavenger, #1);K.J. Parker;3,78;1,476;98
203;The Iron Hunt (Hunter Kiss, #1);Marjorie M. Liu;3,62;5,872;430
204;Life During Wartime;Lucius Shepard;3,76;1,265;93
205;Somewhere Beneath Those Waves;Sarah Monette;4,08;638;85
206;Agatha Heterodyne and the Siege of Mechanicsburg (Girl Genius, #12);Phil Foglio;4,43;655;43
207;The Thing on the Doorstep;H.P. Lovecraft;4,06;4,055;345
208;The Black Tides of Heaven (Tensorate, #1);Neon Yang;3,71;11,746;2,220
209;Taken (Taken, #1);Stacy  Jones;4,12;952;97
210;Predator's Gold (Mortal Engines Quartet, #2);Philip Reeve;3,93;23,758;1,554
211;The Bookbinder's Daughter;Jessica Thorne;3,80;757;285
212;Tiamat's Wrath (The Expanse, #8);James S.A. Corey;4,57;59,934;3,699
213;Everfree (Idlewild, #3);Nick Sagan;3,78;1,059;63
214;Virtual Unrealities: The Short Fiction of Alfred Bester;Alfred Bester;3,97;1,025;78
215;The Swords of Lankhmar (Fafhrd and the Gray Mouser, #5);Fritz Leiber;4,09;3,402;136
216;The God Eaters;Jesse Hajicek;4,11;3,263;319
217;Devices and Desires (Engineer Trilogy, #1);K.J. Parker;3,72;4,458;395
218;The Hot Gate (Troy Rising, #3);John Ringo;4,28;6,194;194
219;The Carpet Makers;Andreas Eschbach;4,17;4,468;664
220;The Demon's Lexicon;Sarah Rees Brennan;3,72;10,173;1,324
221;Peony in Love;Lisa See;3,63;47,139;4,829
222;Vendetta (Deadly Curiosities, #2);Gail Z. Martin;4,06;425;73
223;An Acceptable Time (Time Quintet, #5);Madeleine L'Engle;3,80;21,960;1,176
224;The Monkey's Paw;W.W. Jacobs;3,84;13,766;1,041
225;Cero;Kathe Koja;3,58;5,488;848
226;The Pet Project (Pet Project #1);Amanda Milo;3,76;1,540;215
227;Recursion;Blake Crouch;4,16;212,565;26,237
228;Micro;Michael Crichton;3,49;35,886;3,683
229;The City in the Middle of the Night;Charlie Jane Anders;3,50;11,186;2,030
230;Veil (Hush, #2);Dylan Farrow;3,54;378;147
231;Nemesis Games;James S.A. Corey;4,43;89,906;4,976
232;Spock's World (Star Trek: the Original Series #32);Diane Duane;4,06;3,243;241
233;A Rose for Ecclesiastes;Roger Zelazny;4,03;1,570;95
234;Battle Angel Alita, Vol. 1;Yukito Kishiro;4,19;10,551;652
235;Hello America;J.G. Ballard;3,37;1,510;144
236;Dogs and Goddesses;Jennifer Crusie;3,45;4,539;461
237;Market Forces;Richard K. Morgan;3,61;7,383;416
238;God Touched (Demon Accords, #1);John Conroe;4,18;10,671;520
239;The Demon's Covenant;Sarah Rees Brennan;4,02;5,042;514
240;Darkness Calls (Hunter Kiss, #2);Marjorie M. Liu;3,93;2,886;133
241;Broken Earth (Argurma Salvager, #1);S.J. Sanders;4,00;2,640;294
242;We Could Be Heroes;Mike Chen;3,43;5,160;958
243;Persepolis Rising (The Expanse, #7);James S.A. Corey;4,37;65,004;3,618
244;Windhaven;George R.R. Martin;3,66;6,489;615
245;Nor Crystal Tears;Alan Dean Foster;4,06;2,978;87
246;Eye of Cat;Roger Zelazny;3,63;1,702;73
247;Legends;Robert Silverberg;3,92;7,609;302
248;The Will of the Empress (The Circle Reforged, #1);Tamora Pierce;4,19;21,363;611
249;The Conan Chronicles: Volume 1: The People of the Black Circle (The Conan Chronicles, #1);Robert E. Howard;4,11;1,003;45
250;The Demon's Surrender;Sarah Rees Brennan;3,99;3,299;412
251;The Long Road Home (Stephen King's The Dark Tower: Beginnings, #2);Robin Furth;4,18;10,074;380
252;A Wild Light (Hunter Kiss, #3);Marjorie M. Liu;4,08;1,876;105
253;Das Rätsel der neunten Kobra (Die Kinder des Dschinn, #3);P.B. Kerr;3,88;10,229;153
254;Season of Storms (The Witcher, #0);Andrzej Sapkowski;3,96;51,181;3,046
255;Chaos (Dark Scions #2);Anna Carven;4,23;380;31
256;Contagious (Infected, #2);Scott Sigler;4,13;10,776;677
257;These Vengeful Hearts;Katherine Laurin;3,52;1,004;383
258;Babylon's Ashes (The Expanse, #6);James S.A. Corey;4,24;75,805;4,087
259;Nightside the Long Sun (The Book of the Long Sun, #1);Gene Wolfe;4,07;1,987;121
260;Mercenary (Bio of a Space Tyrant, #2);Piers Anthony;3,80;3,708;73
261;Alvin Journeyman (Tales of Alvin Maker, #4);Orson Scott Card;3,75;15,979;314
262;The Book of Earth (Dragon Quartet, #1);Marjorie B. Kellogg;3,76;960;43
263;The Mystery of Grace;Charles de Lint;3,96;2,938;389
264;Legends II;Raymond E. Feist Robert Silverbert;3,91;3,786;169
265;Dragon Fate (War of the Blades, #1);J.D. Hallowell;3,84;750;67
266;The Magicians and Mrs. Quent (Mrs. Quent, #1);Galen Beckett;3,59;3,044;583
267;Hero of the Imperium (Ciaphas Cain #1-3);Sandy Mitchell;4,43;3,226;155
268;Magic Steps (The Circle Opens, #1);Tamora Pierce;4,03;23,317;515
269;The Fall (The Seventh Tower, #1);Garth Nix;3,83;9,348;288
270;The Book of Skulls;Robert Silverberg;3,65;3,402;356
271;Acacia: The War with the Mein (Acacia, #1);David Anthony Durham;3,57;8,788;568
272;The Mortal Bone (Hunter Kiss, #4);Marjorie M. Liu;4,12;1,135;92
273;Thanemonger (The Ladyships #1);Bex McLynn;4,16;592;117
274;The Magic Shop;H.G. Wells;3,52;2,781;350
275;Kingdom of Sea and Stone (Crown of Coral and Pearl, #2);Mara Rutherford;3,69;3,895;519
276;Cibola Burn (Expanse, #4);James S.A. Corey;4,21;100,246;5,399
277;Translation State;Ann Leckie;4,22;4,479;706
