;0;1;2;3;4
0;Under the Dome;Stephen King;3,92;292,252;16,638
1;All Our Yesterdays;Cristin Terrill;4,02;23,259;3,424
2;The Novice (Black Magician Trilogy, #2);Trudi Canavan;4,08;58,596;1,727
3;These Broken Stars (Starbound, #1);Amie Kaufman;3,90;69,026;8,929
4;The Immortal Rules (Blood of Eden, #1);Julie Kagawa;4,07;70,117;6,263
5;Gone (Gone, #1);Michael  Grant;3,86;198,472;12,068
6;The Throne of Fire (The Kane Chronicles, #2);Rick Riordan;4,19;201,039;7,272
7;Skyward (Skyward, #1);Brandon Sanderson;4,49;124,451;16,360
8;Black Diamond (McLean Twins, #1);Jennifer Loiske;4,39;224;48
9;Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1);Laini Taylor;3,99;362,444;33,452
10;Mountain of Black Glass (Otherland, #3);Tad Williams;4,07;15,590;250
11;Starfish (Rifters, #1);Peter Watts;3,95;8,475;713
12;The Fold (Threshold, #2);Peter Clines;3,88;30,087;3,237
13;Polgara the Sorceress;David Eddings;4,11;29,299;416
14;Wasp;Eric Frank Russell;4,06;2,280;232
15;Thunderhead (Arc of a Scythe, #2);Neal Shusterman;4,41;156,891;21,640
16;Magician: Master (The Riftwar Saga, #2);Raymond E. Feist;4,25;71,152;978
17;Fuzzy Nation (Fuzzy Sapiens, #7);John Scalzi;4,13;29,742;2,786
18;The Obelisk Gate (The Broken Earth, #2);N.K. Jemisin;4,31;150,156;11,632
19;Green Rider (Green Rider, #1);Kristen Britain;4,08;37,211;2,155
20;Mairelon the Magician (Mairelon, #1);Patricia C. Wrede;3,99;8,855;383
21;Dreamsnake;Vonda N. McIntyre;3,87;10,266;713
22;Year of the Griffin (Derkholm, #2);Diana Wynne Jones;4,11;9,301;350
23;Acceptance;Jeff VanderMeer;3,63;61,531;6,040
24;Pandemonium (Delirium, #2);Lauren Oliver;4,03;236,018;15,467
25;The Hydrogen Sonata (Culture, #10);Iain M. Banks;4,19;22,968;1,379
26;Sheepfarmer's Daughter (The Deed of Paksenarrion, #1);Elizabeth Moon;4,13;12,757;726
27;The Sword of the Lictor;Gene Wolfe;4,19;10,140;409
28;Shadow Children Boxed Set: Among the Hidden, Among the Impostors, Among the Betrayed, and Among the Barons;Margaret Peterson Haddix;4,30;2,636;95
29;The Infinite Sea (The 5th Wave, #2);Rick Yancey;3,84;138,075;12,658
30;The Republic of Thieves (Gentleman Bastard, #3);Scott Lynch;4,22;104,113;6,184
31;The Earthsea Trilogy (Earthsea Cycle, #1-3);Ursula K. Le Guin;4,28;20,301;471
32;Cibola Burn (The Expanse, #4);James S.A. Corey;4,21;100,130;5,390
33;Head On (Lock In, #2);John Scalzi;4,00;21,846;2,077
34;Saga, Volume 4;Brian K. Vaughan;4,42;77,121;5,394
35;Pushing Ice;Alastair Reynolds;4,07;18,653;1,123
36;Avogadro Corp (Singularity, #1);William Hertling;3,83;6,043;487
37;Galactic Energies;Luca  Rossi;3,95;506;129
38;Wise Child (Doran, #1);Monica Furlong;4,19;9,266;452
39;Ailene;Annabel den Dekker;4,06;64;42
40;The Past (VanWest, #1);Kenneth   Thomas;3,83;745;211
41;The Long Dark Tea-Time of the Soul (Dirk Gently, #2);Douglas Adams;4,04;85,187;2,274
42;Enna Burning (The Books of Bayern, #2);Shannon Hale;3,99;42,199;3,923
43;Tales from the White Hart;Arthur C. Clarke;3,92;3,075;179
44;Ptolemy's Gate (Bartimaeus, #3);Jonathan Stroud;4,27;85,071;2,448
45;Waking Gods (Themis Files, #2);Sylvain Neuvel;4,01;44,374;4,987
46;The Stone Bearers;Jacque Stevens;4,05;153;78
47;Field of Dishonor (Honor Harrington, #4);David Weber;4,21;20,868;457
48;Heir of Fire (Throne of Glass, #3);Sarah J. Maas;4,46;643,540;47,661
49;The Doors of His Face, the Lamps of His Mouth;Roger Zelazny;4,07;3,832;142
50;Daughter of the Forest  (Sevenwaters, #1);Juliet Marillier;4,28;63,479;5,196
51;The Hunger Games Trilogy Boxset (The Hunger Games, #1-3);Suzanne Collins;4,49;215,227;7,284
52;Running Out of Time;Margaret Peterson Haddix;3,99;26,001;1,839
53;Mary Poppins (Mary Poppins, #1);P.L. Travers;4,02;130,745;6,649
54;Lycanthropy and Other Chronic Illnesses;Kristen O'Neal;3,98;2,236;568
55;A Court of Thorns and Roses (A Court of Thorns and Roses, #1);Sarah J. Maas;4,20;1,782,205;142,273
