;0;1;2;3;4
0;Sanctuary's Aggression;Maira Dawn;4,12;299;51
1;Trinity Sight;Jennifer Givhan;3,73;473;137
2;The Princess and the Peacock (Birds of Fae, #1);C.S.  Johnson;4,50;76;60
3;The Shadowverse: A YA Sci-Fi Superhero Adventure;J.C. Gallo;3,86;78;60
4;Rain (A Stranger in the Woods, #1);India R. Adams;4,11;167;93
5;The Hadley Academy for the Improbably Gifted;Conor Grennan;4,03;345;103
6;The World Walker (The World Walker, #1);Ian W. Sainsbury;4,07;3,960;216
7;Pendomus (Pendomus Chronicles, #1);Carissa Andrews;3,83;374;96
8;Throne of Lies (Amethysta Trilogy, #1);Sara Secora;4,08;135;77
9;Firebolt (The Dragonian, #1);Adrienne Woods;3,98;9,357;986
10;The Lady Alchemist;Samantha   Vitale;3,67;398;105
11;Hidden Current (The Dancing Realms, #1);Sharon Hinck;4,33;338;117
12;Edge of the Breach (Rift Cycle, #1);Halo Scot;4,39;194;126
13;The Finder of the Lucky Devil;Megan Mackie;4,10;289;120
14;Andromeda's Fall (The Prequel Legion Series, #1);William C. Dietz;3,82;1,181;120
15;Oblivion (The Gatekeepers, #5);Anthony Horowitz;4,25;7,710;620
16;The Shore of Women;Pamela Sargent;3,84;1,223;153
17;The Echo Wife;Sarah Gailey;3,61;30,450;5,614
18;The Second Star;Alma Alexander;3,69;108;33
19;I Call Him HIM (I Call Him HIM #1);Scott W. Kimak;3,88;95;56
20;Under the Lesser Moon (The Marked Son, #1);Shelly Campbell;4,43;58;34
21;A Promise of Fire (Kingmaker Chronicles, #1);Amanda Bouchet;4,01;41,964;4,804
22;The Last Lumenian (The Last Lumenian, #1);S.G. Blaise;4,27;4,295;409
23;The Ingenious and the Colour of Life;J.Y. Sam;4,18;107;66
24;Famine (The Four Horsemen, #3);Laura Thalassa;4,20;29,707;3,306
25;Proximity (iMe, #1);Jem Tugwell;4,10;186;49
26;Infinit. The last bridge of Sam.;Mariia Nova;4,18;57;51
27;Dreams of the Dying (Enderal, #1);Nicolas Lietzau;4,31;1,228;341
28;The Stainless Steel Rat Goes to Hell (Stainless Steel Rat, #9);Harry Harrison;3,80;2,568;44
29;Wolves of the Northern Rift (Magic & Machinery #1);Jon Messenger;3,65;1,136;163
30;The Outlands (The Outlands Saga, #1);Tyler Edwards;3,74;269;61
31;Journey to the Heart of the Abyss (Light the Abyss, 2);London Shah;4,34;272;51
32;Earth's Angels (The Earth's Angels Trilogy #1);Beth Worsdell;4,20;113;75
33;The Briarmen;Joseph A. Chadwick;4,20;278;96
34;Fireborne (The Aurelian Cycle, #1);Rosaria Munda;4,06;10,466;2,209
35;Nikhil (Kaliszians #1);M.K. Eidem;4,13;4,028;248
36;SCARLETT: LOST IN THE FIVE LANDS (SCARLETT, BOOK1);Rajendra Sarilla;4,46;188;175
